NIU,CODIGO_CONEXION,TIPO_CONEXION,NIVEL_TENSION,NIVEL_TENSION_PRIMARIA,PORC_PROP_ACTIV,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_CALIDAD,COD_FRONTERA_COMERCIAL,COD_CIRCUITO_LINEA,COD_TRANSFORMADOR,COD_DANE,UBICACION,DIRECCION,COND_ESPEC,TIPO_AREA_ESPEC,COD_AREA_ESPEC,ESTRATO,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXP_ENERGIA,CAPAC_AUTOGEN,TIP_GENERACION,COD_FRONTERA_EXPORT,F_ENTRADA_GENERAR,CONTR_RESPALDO,CAPAC_CONTR_RES
2614275,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 16 10 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614277,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 16 13 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614279,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 101 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614281,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 111 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614283,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 115 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614285,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 127,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614287,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 80 P1,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614289,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 80 P2,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614291,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 71,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614293,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 74 2CS 8,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
