NIU,CODIGO_DE_CONEXION,TIPO_DE_CONEXION,NIVEL_DE_TENSION,NIVEL_DE_TENSION_PRIMARIO,PORC_PROPIEDAD_DEL_ACTIVO,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_DE_CALIDAD,COD_FRONTERA_COMERCIAL,CODIGO_CIRCUITO_O_LINEA,CODIGO_TRANSFORMADOR,CODIGO_DANE_NIU,UBICACION,DIRECCION,CONDICION_ESPECIAL,TIPO_AREA_ESPECIAL,CODIGO_AREA_ESPECIAL,ESTRATO_ID,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXPORTA_ENERGIA,POTENCIA,TIPO_GENERACION,CODIGO_FRONTERA_AUTO_GEN,INICIO_OPERACION,CONTRATO_RESPALDO,CAPACIDAD_CONTRATO_RESPALDO
21290428,100YQH0000,2,1,2,0,1,62371,444,12,Frt52321,,100YQH0000,8001000,2,CL 98 No CR 58 - 20 LOC 103 CL2576,0,0,0,8,75,-74.8241868,11.0171017,3,,,,,,,
21290429,100YQH0000,2,1,2,0,1,62371,444,12,Frt68399,,100YQH0000,8001000,2,CL 98 CR 58 - 20 LOC 104 CL 2577,0,0,0,8,75,-74.8241868,11.0171017,3,,,,,,,
21290603,0755,1,2,2,101,1,62371,444,12,Frt74719,0755,,8001000,2,CL 70 CR 41 - 259,0,0,0,8,109,-74.8174296,10.981599,3,,,,,,,
21292140,0837,1,2,2,101,2,62371,444,12,Frt76781,0837,,8001000,1,CL 112 CR 42 - 19 GLPN BOM AE2527,0,0,0,8,39,-74.8407809,10.99143,3,,,,,,,
21298927,10109K0000,2,1,2,0,2,62371,444,32,Frt68381,,10109K0000,8573000,1,CL 2B No CR 22 - 52 LOC 110 S5606,0,0,0,7,16,-74.8552721,11.0251958,3,,,,,,,
21298941,0839,1,2,2,101,2,62371,444,12,Frt66868,0839,,8573000,1,CL 2B No CR 22 - 52 LOC EURO S5617,9,0,0,7,39,-74.8407809,10.99143,3,,,,,,,
21310857,1022V90000,2,1,2,100,1,62371,444,12,Frt51323,,1022V90000,8001000,2,CR 74 CL 76 - 74 LOC 3 DU8228,0,0,0,8,15,-74.7952648,11.0138445,3,,,,,,,
21320897,0337,1,2,2,101,1,62371,444,12,Frt82205,0337,,44001000,1,Cr VIA A MAICAO No Km 5 - 300 DPL DQ2362,4,0,0,8,8,-72.8975636,11.5389011,3,,,,,,,
21321118,0337,1,2,2,101,2,62371,444,12,Frt80207,0337,,44001000,1,Cr VIA A MAICAO No Km 3 - 100 DPL EF2808,4,0,0,7,8,-72.8975636,11.5389011,3,,,,,,,
21325419,1010SC0000,2,1,2,100,1,62371,444,12,Frt65225,,1010SC0000,8001000,2,AV VIA 40 No 85B - 300 BDGA 2 CJ9259,0,3,4220,8,9,-74.8075583,11.0308191,3,,,,,,,
21326625,100J5B0000,2,1,2,0,1,62371,444,11,Frt68454,,100J5B0000,47001000,2,CL 18 No CR 2 - 67 LOC 5 AO5355,0,0,0,7,7,-74.2128287,11.2426895,3,,,,,,,
21327403,100TPA0000,2,1,2,0,1,62371,444,32,Frt57330,,100TPA0000,8573000,1,CL 3A No CR 25 - -203 LOC 06 S5441,0,0,0,8,33,-74.8624095,11.0218237,3,,,,,,,
21328417,0743,1,2,2,101,2,62371,444,32,Frt74309,0743,,8573000,1,CR 20 CL 6 - 155 DPL Y7309,0,0,0,8,24,-74.9108796,11.0103411,3,,,,,,,
21328646,100PWR0000,2,1,2,100,1,62371,444,12,Frt68444,,100PWR0000,8001000,2,CL 94 CR 53 - 44 LOC 1 CH9585,0,0,0,8,88,-74.8230237,11.0130547,3,,,,,,,
21338494,100ZI20000,2,1,2,0,2,62371,444,12,Frt68388,,100ZI20000,8001000,2,CR 64 CL 84 - 8 LOC 16 CK6880,0,0,0,8,56,-74.8108071,11.0124516,3,,,,,,,
